MeanDecreaseGini	gene	rank
13.810355979262	GAS2	1
13.3553419828887	SELL	2
11.3946677710394	ARRDC3	3
7.11824354637374	NFKBIA	4
6.82146895372565	AREG	5
5.29258328279898	FOS	6
4.47041394069572	CTNNB1	7
3.95705176853902	MTRNR2L10	8
3.94828056085218	HNRNPL	9
3.83537990610136	CLEC4GP1	10
3.81132120557625	CRHBP	11
3.79707942971248	MTRNR2L3	12
3.7610610252678	MPL	13
3.76102123970489	GAS5	14
3.74189242648623	ANXA2	15
3.71948021334803	IFITM1	16
3.35730090431701	LGALS1	17
3.2226306925857	MTRNR2L8	18
3.19581861631512	MTRNR2L4	19
3.16241055867968	C16orf54	20
3.09039407629854	CD164	21
2.95157277253549	MTRNR2L1	22
2.79669209067162	HNRNPH1	23
2.77967235730164	SOCS2	24
2.72575249448658	FTL	25
2.66524820872853	CXCR4	26
2.49112020458219	CYP51A1	27
2.48156255159239	EIF5AL1	28
2.46711300071543	MTRNR2L2	29
2.42762607851533	EIF5A	30
2.37546898493834	FTH1	31
2.3606653669023	ANXA2P2	32
2.3347972423827	GMNN	33
2.32989213569068	FTH1P3	34
2.18530494796481	CTSG	35
2.08630769760449	VIM	36
2.04626029505601	STON2	37
1.94491546741789	PF4	38
1.93373732922917	RSL1D1	39
1.92280089770717	SPINK2	40
1.91357772131775	HLA-E	41
1.90691097620127	KIAA0125	42
1.85780460708858	HOPX	43
1.85414095378326	DUSP1	44
1.85243640425598	AAMDC	45
1.84166738871745	ERAP2	46
1.83019127756865	RAB31	47
1.82408269927346	MRPL16	48
1.82165366848448	NOG	49
1.79736395870928	CALR	50
1.78943486729859	MTRNR2L6	51
1.78540195356067	RPL18A	52
1.69203708207113	TSC22D3	53
1.66855227230825	LINC00987	54
1.65347996781383	DNTT	55
1.65335199173505	RNA5-8S5	56
1.64445112792151	GPR128	57
1.63724595554552	TRA2A	58
1.62877278206521	TMSB10	59
1.62480622556938	CD69	60
1.59970947008892	GOLGA8A	61
1.53777744978675	PACERR	62
1.53477882368097	ANXA1	63
1.53266620026843	RNA45S5	64
1.52164624973731	IFITM2	65
1.51520528986098	CXCL11	66
1.49200909959068	RTN4	67
1.48751273727109	RPL37A	68
1.48699027761384	GOLGA8B	69
1.48224805089472	LOC101927153	70
1.47840995517453	CD74	71
1.45723738956087	GNAS	72
1.44347410214383	PIP4K2A	73
1.43390293096766	LRRC75A-AS1	74
1.42241082244616	YBX1	75
1.40133879852555	NCF4	76
1.39565700239612	TSC22D1	77
1.39257255007557	CDC42	78
1.38753864866277	RPL10A	79
1.3736313597945	EIF2S3	80
1.36316116087826	IRF1	81
1.34869505252501	RSPO1	82
1.3356316175334	DAZAP2	83
1.33308937750528	AVP	84
1.32650866706909	C6orf25	85
1.32393835440979	RPS15	86
1.3131199747238	SNHG9	87
1.30917865601513	PRSS3P2	88
1.30765742594559	PROM1	89
1.30328424645584	PRSS1	90
1.29831479051125	PCDH9	91
1.29383695127618	HLA-DRB1	92
1.28328039724294	CD53	93
1.24225222455086	WTAP	94
1.23885861708815	CKS2	95
1.23522469492304	ALG11	96
1.22667262129998	WDR43	97
1.22108443863577	HMGN3	98
1.21606116090619	MAGED2	99
1.21484515972372	UBB	100
1.19413348827208	MRPL55	101
1.19022889544873	ZFP36L2	102
1.18772448910476	PSIP1	103
1.18271077708163	HBE1	104
1.16807060577065	LIPT1	105
1.16140448148306	HIST1H2AC	106
1.1481465871351	HBZ	107
1.13292823875621	PRDX1	108
1.12391791509535	ICAM3	109
1.11968185989622	MYCT1	110
1.11850099571228	HIST2H2AA3+HIST2H2AA4	111
1.11560124161792	MT1L	112
1.10954065535563	KLF6	113
1.09612430993687	LAPTM4B	114
1.09285203664061	LOC100507217	115
1.08719331830657	TMBIM6	116
1.07240216590589	FXYD5	117
1.07169469246073	OR13D1	118
1.0714561110978	SAT1	119
1.06890848159788	CTSC	120
1.05103065891885	ID3	121
1.04718268271611	EGR1	122
1.04564631445784	TM7SF3	123
1.03432942583064	CDC42SE2	124
1.03331706800301	RPL9	125
1.03293295279946	YWHAZ	126
1.02681173020896	MARCH6	127
1.02430157367766	PAIP2	128
1.02427504862986	H3F3B	129
1.02220258272203	BST2	130
1.01777165056995	DSEL	131
1.01387527916375	COX6A1	132
1.01383532035872	S100A6	133
0.996889774506842	PEBP1	134
0.98751672863511	INPP5A	135
0.984626405966967	FHL1	136
0.974025716888038	FCER1A	137
0.971525704443553	RPS11	138
0.97087665351649	TAGLN2	139
0.967354153130498	HSPA5	140
0.962493445963208	HEMGN	141
0.962054267421883	S100A4	142
