gene	meanA	meanB
ZNF557	0.446397992849961	2.00405292458015
PABPC3	1.95670057129615	3.30172259493536
NPTN	0.646065048830089	2.38576744846602
LSM14A	1.8206473266256	4.11969223914042
CENPU	2.49979803367879	4.91588000096909
PPA2	3.32237986933568	5.9108230656749
CENPC	1.16555608568202	2.90676667478128
ZC3H15	3.70462163324055	6.25064289663118
SMC3	1.68636240384077	4.06867398847054
EIF4G2	4.815430853661	6.82192880250464
SNRPB2	4.0317146638547	6.06593100158465
ZZZ3	0.41275599798254	1.81312321734869
FUS	1.21178681058109	2.57147578377262
RBM18	2.13495851949315	4.34868116133859
LYSMD3	0.738450797913421	2.3309657184117
CWC22	1.71340603092886	3.58626210188813
ANXA2	4.68166124894663	7.84315192608401
KRR1	1.60161375805372	3.35104808242837
SLC16A4	0.0552816640815899	0.508182568846697
FOXJ3	0.168690336968568	0.952829447924424
CCNI	2.3314032046608	3.92924716623402
MDH1	5.27217710670477	7.87082821470018
SLC35F6	2.31529258646154	3.91711141383746
RSL24D1	4.82883462255258	7.31648673795808
CARS2	0	0.537110075837134
FABP6	0	1.42745131283573
PRRG1	0	0.494239977883772
TMEM63A	0	0.527287119577715
VIM	1.14972310352582	3.27751964032469
SLU7	1.86828971794849	2.84780951976139
BCOR	0.987109466881617	2.5997764499958
CCP110	0.00365528625233836	0.650644546615759
SFXN5	0.0323697129149428	0.480562724566208
UBE2B	4.52390596715895	6.74062761532516
FNBP4	0.546531172233062	1.81368754549765
CBX2	0.0312403714985405	0.399723760454201
ARHGAP5	0.0782203792471276	1.2411858138744
EIF3A	1.9019253049175	3.85089480435221
TRMT10A	0.327778983256196	1.36173848290294
RAB29	0.807139934632993	2.32191639772395
ADAM9	0.451583632362649	1.91224248622879
ASB8	1.07995393364376	2.48807736217859
MRPL40	4.99645547654435	8.02219207454664
CAPRIN1	2.2943826339002	4.02187592933739
CAP1	4.08643693130087	5.83758549125316
NDFIP2	1.34973226165238	3.052980841434
MAP4K5	0.555191821628943	1.40628291341751
PSMC6	4.34777575688099	6.24638170618991
TCEA1	3.02732411368346	5.1647243368104
GSR	1.03896519169212	2.67170691273389
FAR1	0.642705185663482	2.21747377993035
LYPLAL1	3.40992768999526	5.3788711467172
ZNF649	0.482116669772751	1.16513907484928
CLASRP	0	0.254843574597572
RGL2	0	0.264514994769442
ZBTB34	0	0.451837957814597
RCOR3	1.02840316659718	2.51665969118958
ANTXR2	0.285541909584513	0.949248466176579
ATAD2	0.769072368861052	2.13621876879932
PPM1B	0.664932315634645	1.3266120539238
LOC100288748	0.0840122138223537	0.362644172381761
GNB1	1.26797772311652	2.81037747097506
ZRSR2	0.186958927592702	1.03379486343963
ANXA2P1	1.63743819675115	2.70262324742037
SP4	0.824830183415908	2.38251636037571
CYP2R1	0.372609928924157	1.41607971427131
ZCRB1	3.36061257081521	5.38179969914073
SMARCD1	0.162612981634043	0.817208652842561
ZNF324	0.0715849049279064	0.559466167089714
ZFR	1.3781660532511	2.86353001496224
ZMPSTE24	2.87275747745289	4.75280986470771
HINT3	0.867586653861241	1.8651328989579
ACTN4	0.218382433076898	0.746130328745246
LINC01184	0.0451695976834866	0.393751931261564
ST6GALNAC6	0.0608515962407803	0.416739081952339
ANXA2P3	1.06394401219213	1.63397390368213
ANXA2P2	3.4043803576636	5.53790995770498
HPS5	0.472866741721379	0.811398155581317
LAMP2	2.32708035547277	4.01856426583271
YWHAB	4.37854627735246	6.55677824162891
ZAK	1.50696626031798	2.89350345698194
PPP1R26	0.0779794522281315	0.379163282295959
ETFB	3.3464074577936	5.56264183605685
PPM1A	0.339382177027917	1.5801145346626
RNF24	0.707527904319969	1.75972548565847
FNTA	1.81805874153098	3.87555126552106
PHF6	0.732992619933377	1.88341725311888
TCTEX1D2	1.309999793456	3.17786172321025
KMT2A	0.559404756167217	1.4531584774334
TAF3	0.28707300659996	1.15014726586494
YES1	1.15080621997952	2.03724321557393
LOC100506076	0.535118907020831	1.5263814724333
TMEM50A	3.92293444633864	6.3463734679782
TRPC4AP	0.692494700857986	1.70874342860677
OLA1	2.97065278438295	4.47006881070666
MCM8	0.398293933859023	1.25158882265882
SLC38A6	1.91505562062744	3.81239434663524
MAP4	0.490930092812429	1.17398702064297
SCAF8	0.330787153574757	1.26645530258127
GART	4.2529917673504	5.66118050927881
PROSER1	0.256989909397219	1.00830352991892
PNISR	3.92660895651211	5.57825587174154
WBP5	3.87224005610509	5.74885863030679
TRIM33	1.38072935981201	2.67337380912585
CDKL1	0.197702733000875	1.03692777041411
SACM1L	1.19505008301274	2.71769457812642
ANKRD36B	1.72649673905389	2.74624689500922
CTAGE5	0.465314866464577	1.01670202464709
AP3S1	3.62555439099702	5.0861162547523
DERL2	2.59102552155113	4.47507288523626
LDLRAP1	0.218633879138024	0.864117329804137
ERBB2IP	0.574900250803552	1.20954675780678
ARG2	1.30843703777988	2.74658852842545
FAM204A	2.70887192277024	4.19946415538477
DDX3X	3.48221981271698	5.12393239414606
TBCB	2.46277057109796	4.11835004893937
TNFRSF10B	0.333433791817648	0.87194410167037
RNA45S5	4.98745938016933	6.17331407756605
LYL1	0.264355454453859	0.796876197437162
SYNPO2L	0.00807806132735985	0.129471445062221
KIAA1586	2.09591638008789	3.85844478559218
INTS7	2.16228690606392	3.64157140012712
SENP2	0.813764316802577	1.80220561744806
YRDC	1.24046954067479	2.49994427825669
PDCD4	3.43496389346991	4.93380230079738
SMARCAD1	0.57915883035061	1.51456513636991
PHACTR1	0.15697310306654	0.577612952854494
PIM3	0.0839754547961506	0.577450173809714
CKLF	3.18475558907119	5.00660975113875
TOMM20	3.14711669795088	4.80527842638909
KIF3A	0.511874101225059	0.768591071367988
ANXA7	3.42851122970503	5.32818522675958
PABPC1	6.27454629474026	8.0455997877689
ZGRF1	0.0823467388862496	0.735616378751436
KCMF1	0.242413732684432	0.898928008765226
SMC2	0.987682850069835	2.5821977192465
ZNF841	0.185245895676709	0.534671336963999
BRD1	0	0.50338465699542
CDH12	0	0.467174898787828
CPVL	0	1.10982104286413
MYLK-AS1	0	0.5844203842793
ORAI1	0	0.358602574947906
SLC9A3R2	0.162462156704221	0
THEMIS	0.158050250543772	0
QTRTD1	0.652452385987078	1.74197153917263
LINC01252	0.30416184174847	0.15313104090877
SNX2	2.99038394371302	4.44583880715246
GAPDH	6.25963018945912	8.71380932582569
RSBN1L	0.265242569401178	1.1784923466369
SLC35A2	0.365549859422138	1.22956087541779
XPOT	2.20709832146375	3.67857990889362
TRIM38	0.204783559277467	0.934919640164131
C8orf37	0.264299925438072	0.00235513518420824
ZNF286B	1.48042984913398	1.99615877190513
ZNF43	0.884186618357827	0.288117108922559
CAMTA1	3.2608231659914	5.10399870209274
LIN7C	4.25419280054613	5.977815587258
KIAA0907	2.29418665570675	3.85344037620864
KAT6A	0.151375225845142	0.51678739627464
TMEM259	0.0520870158947954	0.255052723769704
COX17	4.1907880830285	6.06948187834947
TMEM130	0.402175213604329	0.212862984689203
THAP9-AS1	2.14383037873273	3.89155708788733
MED14	0.171565907891388	0.384788919532732
PUM1	2.09216222814689	3.50518761347417
CNOT1	1.34320965341025	2.90346095098589
SNX10	0.347075880260516	1.32567034675375
MS4A3	0.153973726126649	1.18819502070785
TMEM5	1.00811306203694	2.22307918951727
UBL5	5.95599745813411	8.11206867436238
CNOT6L	0.944059138905329	2.32680529324979
DDX46	1.44086849548865	2.94901631429425
CA2	0.191972745935372	1.50041942279063
LINC00173	0.101000826571743	0.903401527710777
ITGB3BP	3.59693704986548	5.58961733229299
PNMAL1	0.225235694233849	0.713642317350294
PPP6R1	0.178065345909879	0.577676119689998
ARL6IP5	2.30391858205671	4.19666757038949
FDXR	0.482149241044229	1.50070695783517
SKP1	6.04317480534602	8.36310915929119
DLGAP1-AS1	0.102562805948498	0.664055811405038
PRKAR2B	2.29414594089926	3.92431871918564
WDFY1	0.079150321140423	1.01922093066882
CHMP3	0.253551362007068	0.858087169384987
MOB2	0.0392552189193445	0.15584341778709
ZDHHC14	0.25188140512396	0.0719940202200514
KIF5B	2.18928159474906	3.36153831439816
DCP2	2.42995089220297	3.76517616681322
PMS1	1.1335337027614	2.85307668204802
PPT1	3.84641582903933	6.00502889717272
BCAS2	4.18255186909806	6.2999994623199
MED13	0.632431216721344	1.63574721477474
PFDN5	6.17483695193915	8.42481119292554
PAXBP1	0.848251091521909	2.08534633047045
LRG1	0.258922761479734	0.922289451433495
ZBTB8OS	4.14070377857127	5.90516012883579
ALG12	0.2064186617963	0.892418176852405
HARS	2.15435631335281	3.87531164483704
HNRNPR	2.39268667347082	3.75090069666253
MRPL53	2.3332383955537	3.9539667036382
ANKRD36	1.73223419927575	2.50412491367631
DGCR8	2.89873593181586	4.07186559916402
CCSAP	0.494088626304035	1.44051027923748
ICE1	0.36225101843455	1.22320640570312
ALKBH4	1.00313906001625	1.70067168541041
DSN1	1.58093458167802	3.41686558140532
INO80E	0.0868095929119348	0.356945842269408
TDG	2.34662947917467	3.85575171844331
CCDC117	1.82625343087847	2.59801813650697
SHFM1	7.9074054386284	9.60675468280271
XRN2	1.63455720714049	3.23707674790374
TMEM30A	1.06394615042319	2.25884911485596
NKIRAS1	0.615734969791202	2.09059827584963
FAR2P2	0.495573257596011	1.03491896052181
SEPSECS	0.199121791970696	0.919144392712823
PDIA6	4.15693884748489	6.05022303704057
ITM2B	1.91149306689609	3.37418427309575
CCDC167	2.78317693839248	4.50773282779114
DCTN5	1.46028474281131	2.4814644144457
AP1G2	0.301182262622998	1.09858724101184
CUL3	0.866199126374654	1.82564951474885
PSMG1	4.48589959781079	6.63690220541188
DCAF10	0.576040775232681	1.55446546382634
WIPI1	0.216235345288028	1.09138088122125
MRPL51	5.49082682526414	7.87350756912184
CSTF2T	0.481524914160726	1.34937230558871
LOC100505549	0.00834395536817898	0.31775802478116
GET4	1.71936146420925	2.8514762333976
CTR9	0.726104897904634	1.93694666070813
NKTR	1.71124253743081	3.19393143687391
UCHL3	5.30272760812473	7.56086740748128
TMF1	0.0356075157214339	0.571435073508359
HNRNPU	3.64913149497547	5.15097210633291
CMTM3	0.218171316753289	0.667145447240754
CCDC88A	0.75258023401941	1.26106259394677
C12orf45	3.39793381351784	5.14129279153735
KATNAL1	0.227868468001049	1.03052667236457
UBXN2B	0.98143920127372	2.14174161189
XPR1	0.429993090812551	1.01191437529648
RDH11	2.46055538498023	4.12194011947914
LRPPRC	3.57159025330188	5.20717495630882
TOMM7	5.04817952463324	7.36826134127706
IFT81	0.0886490982736076	0.655252556475317
TARBP1	0.134729941463673	1.00158559013746
BTD	0.404858439713592	1.1836508644021
USO1	0.80702101196117	2.04375961790598
OGDH	0.868847186443588	1.35784248152561
TRAPPC3	2.03059094480065	3.81145064104187
SEC23IP	0.715026855534098	1.18034929563911
TXNL4A	1.49780587086528	2.94396784795829
NPEPPS	2.9353776928016	4.18392347223087
CCNB1IP1	1.62515167781013	2.8340511494614
PGM5P2	0.752384260264042	1.39294537167949
EDEM1	0.561448859028346	1.51134165627341
GPATCH11	0.630740357091655	1.75251731602629
EI24	2.30642787671841	3.7385127890045
RBM33	0.0929488518388444	0.472262861698614
SNX6	2.16211405555247	3.65459593708734
UBXN1	2.36551221016938	4.05690269268049
AUH	0.156376794739678	0.863191386691147
RPL28	4.22595678307978	6.05536414177588
EEF2	1.97011218890841	3.10495004277123
RBM6	3.22126666354257	4.54272127720726
TXN2	3.30826585439511	4.6940216543906
PTEN	1.66446253875944	3.33882896538492
CEBPZ	2.89823185505745	4.39428733297028
ANXA11	1.01541849964818	2.17572527265235
OST4	4.99202819133756	7.13267652505037
AKAP10	0.222668753874102	0.806398833582398
FOXRED2	1.42557681068163	1.96010725095038
TMEM8A	0.109243729590916	0.357810601405272
CCDC82	1.29978978672432	2.60647687854652
ALDH1L2	0.165109329914407	0
CCL16	0	0.168111497612058
FAAHP1	0.228870370510725	0
FAM92A1P2	0.130717740721874	0
GABARAPL1	0	0.40910575099471
GOLGA6L9	0	0.245941351562891
HEXDC	0.214928170245046	0
HS1BP3	0	0.294838755616113
IGSF8	0	0.141680382121118
LRRC37B	0	0.502053366629452
SLC25A43	0.366274921148127	0
ST3GAL1	0	0.0759326496387764
TET2	0	0.14881269942649
TFAMP1	0.151614332467104	0
TUBGCP6	0	0.180041479376141
ZNF354B	0	0.411642446288742
ZNF736	0	0.358221328933926
SEPT7P2	1.19029250256946	1.70299228731951
LOC283731	0.0656807904070418	0.252843218024031
SYNJ2BP	0.547253836055448	1.73233248072773
HRH4	0.318013825242699	0.050545649589159
ZNF367	0.778993357993393	0.157984172051303
ECT2	0.637844817892779	1.05295218229097
FAM73B	0.00564499189102188	0.234067258341169
CLHC1	0.24284065989071	1.0834926838287
TLN1	0.0633305994286181	0.27604634334134
CCNL1	1.25040691618502	2.60482673926868
UFC1	4.3846886428671	6.51781746838195
RPL10	5.97827917572506	7.95497264865611
PRPF40A	3.85800169960048	5.14578164944696
LMF2	0.134963652807233	0.51786011007721
NAA25	1.30335118420535	2.18277798242709
RQCD1	5.45485006841009	6.9752666079181
RPL13A	4.57746484193676	6.27254289600695
EPC2	0.0228644718109273	0.699452161058167
CCZ1B	1.10472007424946	2.30973514500909
CYB5B	2.37111951537382	3.75413210228323
TRMT10B	1.39982912500383	1.7380791485069
CHD7	1.08102393617199	2.14845102307784
SUPT4H1	2.07768683239644	3.44134324538677
FAM126A	0.447331352449605	1.62649604557842
MIA3	0.935886707172209	1.92872364089986
TULP4	0.763230142379562	1.47967873747726
MRPS21	4.54762083819759	6.665447874942
LILRB3	0.935424475127453	1.49135434576426
RPA2	4.85602696717106	6.96504497535464
